version,filename,downloads_30d
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,6
1.0.0,tzfpy-1.0.0-cp39-abi3-win_amd64.whl,6
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_armv7l.whl,6
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_armv7l.whl.metadata,6
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,6
1.0.0,tzfpy-1.0.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,5
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_11_0_arm64.whl,5
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,5
0.15.2,tzfpy-0.15.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,4
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,4
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_aarch64.whl,4
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_aarch64.whl.metadata,4
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,4
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,4
1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl,4
0.15.2,tzfpy-0.15.2-cp312-cp312-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,3
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,3
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,3
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl.metadata,3
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl,3
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,2
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,2
0.15.6,tzfpy-0.15.6-cp38-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,2
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl,2
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl,2
1.1.1,tzfpy-1.1.1-cp314-cp314t-macosx_11_0_arm64.whl,2
1.1.1,tzfpy-1.1.1.tar.gz,2
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl.metadata,2
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl,2
0.15.0,tzfpy-0.15.0-cp38-cp38-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,1
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,1
0.15.5,tzfpy-0.15.5-cp310-cp310-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,1
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.15.5,tzfpy-0.15.5.tar.gz,1
0.16.0,tzfpy-0.16.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,1
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl.metadata,1
1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl.metadata,1
1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl.metadata,1
