version,filename,downloads_30d
0.15.5,tzfpy-0.15.5-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,105
0.15.5,tzfpy-0.15.5-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,105
0.8.2,tzfpy-0.8.2-cp310-cp310-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,96
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,95
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,89
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,78
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,78
0.15.0,tzfpy-0.15.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,72
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,58
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl,58
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,58
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl,53
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl.metadata,50
0.15.3,tzfpy-0.15.3-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,42
0.15.0,tzfpy-0.15.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,36
0.15.3,tzfpy-0.15.3-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,35
0.15.2,tzfpy-0.15.2-cp311-cp311-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,32
0.15.2,tzfpy-0.15.2-cp311-cp311-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,32
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,29
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,28
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl,26
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl.metadata,26
0.15.6,tzfpy-0.15.6-cp38-abi3-musllinux_1_1_x86_64.whl,19
0.15.1,tzfpy-0.15.1-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,18
0.15.1,tzfpy-0.15.1-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,18
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,15
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,15
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,15
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,13
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,13
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl,12
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl,12
0.15.5,tzfpy-0.15.5-cp312-cp312-musllinux_1_1_x86_64.whl,11
0.15.5,tzfpy-0.15.5-cp312-cp312-musllinux_1_1_x86_64.whl.metadata,11
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl.metadata,11
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl.metadata,11
0.15.1,tzfpy-0.15.1-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,10
0.15.4,tzfpy-0.15.4-cp311-cp311-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,9
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,8
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,8
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl.metadata,7
1.1.0,tzfpy-1.1.0-cp310-abi3-win_amd64.whl,7
1.1.0,tzfpy-1.1.0-cp310-abi3-win_amd64.whl.metadata,7
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl.metadata,7
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl,6
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,5
0.15.5,tzfpy-0.15.5-cp310-cp310-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,5
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_x86_64.whl,5
0.15.4,tzfpy-0.15.4-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.15.6,tzfpy-0.15.6-cp38-abi3-win_amd64.whl,4
0.16.1,tzfpy-0.16.1-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.16.1,tzfpy-0.16.1-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,4
1.1.1,tzfpy-1.1.1.tar.gz,4
1.1.3,tzfpy-1.1.3.tar.gz,4
0.10.1,tzfpy-0.10.1-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,3
0.10.1,tzfpy-0.10.1-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,3
0.15.0,tzfpy-0.15.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,3
0.15.0,tzfpy-0.15.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,3
0.15.2,tzfpy-0.15.2-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,3
0.15.5,tzfpy-0.15.5-cp312-cp312-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,3
0.15.6,tzfpy-0.15.6-cp38-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,3
0.16.2,tzfpy-0.16.2-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,3
0.16.2,tzfpy-0.16.2-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,3
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,3
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,3
1.0.1,tzfpy-1.0.1-cp310-abi3-win_amd64.whl,3
0.15.0,tzfpy-0.15.0-cp310-none-win_amd64.whl,2
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,2
0.15.2,tzfpy-0.15.2-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,2
0.15.2,tzfpy-0.15.2-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,2
0.15.2,tzfpy-0.15.2-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,2
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,2
0.15.5,tzfpy-0.15.5-cp312-cp312-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,2
0.15.5,tzfpy-0.15.5-cp312-none-win_amd64.whl.metadata,2
0.15.6,tzfpy-0.15.6-cp38-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,2
0.15.6,tzfpy-0.15.6-cp38-abi3-win_amd64.whl.metadata,2
0.16.0,tzfpy-0.16.0-cp39-abi3-win_amd64.whl,2
0.16.0,tzfpy-0.16.0-cp39-abi3-win_amd64.whl.metadata,2
1.0.1,tzfpy-1.0.1-cp310-abi3-win_amd64.whl.metadata,2
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_x86_64.whl,2
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,2
0.11.1,tzfpy-0.11.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.11.1,tzfpy-0.11.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1
0.15.0,tzfpy-0.15.0-cp310-none-win_amd64.whl.metadata,1
0.15.0,tzfpy-0.15.0-cp38-cp38-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,1
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,1
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,1
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,1
0.15.2,tzfpy-0.15.2-cp311-none-win_amd64.whl,1
0.15.2,tzfpy-0.15.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.15.2,tzfpy-0.15.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1
0.15.2,tzfpy-0.15.2-cp312-none-win_amd64.whl,1
0.15.2,tzfpy-0.15.2-cp312-none-win_amd64.whl.metadata,1
0.15.2,tzfpy-0.15.2-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.15.3,tzfpy-0.15.3-cp311-none-win_amd64.whl,1
0.15.3,tzfpy-0.15.3-cp311-none-win_amd64.whl.metadata,1
0.15.3,tzfpy-0.15.3-cp37-none-win_amd64.whl,1
0.15.5,tzfpy-0.15.5-cp310-cp310-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,1
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,1
0.15.5,tzfpy-0.15.5-cp312-none-win_amd64.whl,1
0.15.5,tzfpy-0.15.5-cp38-cp38-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.16.3,tzfpy-0.16.3-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.16.3,tzfpy-0.16.3-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,1
0.16.4,tzfpy-0.16.4-cp39-abi3-musllinux_1_1_x86_64.whl,1
0.16.4,tzfpy-0.16.4-cp39-abi3-musllinux_1_1_x86_64.whl.metadata,1
0.9.2,tzfpy-0.9.2-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.9.2,tzfpy-0.9.2-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1
1.0.0,tzfpy-1.0.0.tar.gz,1
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,1
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl,1
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,1
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_aarch64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_armv7l.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-win32.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-macosx_10_12_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-macosx_11_0_arm64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_aarch64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_armv7l.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-win32.whl,1
1.1.2,tzfpy-1.1.2-cp314-cp314t-win_amd64.whl,1
1.1.2,tzfpy-1.1.2-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,1
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_aarch64.whl,1
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_armv7l.whl,1
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,1
1.1.3,tzfpy-1.1.3-cp310-abi3-win32.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-macosx_10_12_x86_64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-macosx_11_0_arm64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_aarch64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_armv7l.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_x86_64.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-win32.whl,1
1.1.3,tzfpy-1.1.3-cp314-cp314t-win_amd64.whl,1
