version,filename,downloads_30d
0.15.2,tzfpy-0.15.2-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,303
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_aarch64.whl,293
1.0.0,tzfpy-1.0.0-cp313-cp313t-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,289
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,281
1.0.0,tzfpy-1.0.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,276
1.0.0,tzfpy-1.0.0-cp39-abi3-win_amd64.whl,251
1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl.metadata,246
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,224
1.0.0,tzfpy-1.0.0-cp39-abi3-win_amd64.whl.metadata,219
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_11_0_arm64.whl,217
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,214
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl,210
0.15.2,tzfpy-0.15.2-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,205
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,201
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,181
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,180
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_x86_64.whl,170
1.1.3,tzfpy-1.1.3.tar.gz,166
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_x86_64.whl.metadata,152
1.1.1,tzfpy-1.1.1.tar.gz,147
0.15.3,tzfpy-0.15.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,145
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl.metadata,136
0.15.5,tzfpy-0.15.5-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,134
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl,133
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_11_0_arm64.whl.metadata,128
0.15.3,tzfpy-0.15.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,122
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl.metadata,121
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl,119
0.8.2,tzfpy-0.8.2-cp310-cp310-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,118
0.15.5,tzfpy-0.15.5-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,106
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,104
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_x86_64.whl,102
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,97
0.15.0,tzfpy-0.15.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,96
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl,95
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl,92
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,92
1.1.2,tzfpy-1.1.2-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,87
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_x86_64.whl,86
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_armv7l.whl,85
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_aarch64.whl,84
1.1.3,tzfpy-1.1.3-cp310-abi3-win32.whl,83
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,83
1.1.3,tzfpy-1.1.3-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,82
1.1.3,tzfpy-1.1.3-cp314-cp314t-win32.whl,82
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,81
1.1.3,tzfpy-1.1.3-cp314-cp314t-musllinux_1_2_armv7l.whl,81
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,80
1.1.3,tzfpy-1.1.3-cp314-cp314t-macosx_10_12_x86_64.whl,80
1.1.3,tzfpy-1.1.3-cp314-cp314t-win_amd64.whl,80
1.1.2,tzfpy-1.1.2-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,79
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_armv7l.whl,78
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_x86_64.whl,78
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,78
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,77
1.1.2,tzfpy-1.1.2-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,77
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_aarch64.whl,77
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,76
1.1.2,tzfpy-1.1.2-cp314-cp314t-musllinux_1_2_armv7l.whl,76
1.1.2,tzfpy-1.1.2-cp314-cp314t-win_amd64.whl,75
1.1.2,tzfpy-1.1.2-cp314-cp314t-win32.whl,74
1.1.3,tzfpy-1.1.3-cp314-cp314t-macosx_11_0_arm64.whl,74
1.1.2,tzfpy-1.1.2-cp310-abi3-win32.whl,73
1.1.2,tzfpy-1.1.2-cp314-cp314t-macosx_10_12_x86_64.whl,73
1.1.2,tzfpy-1.1.2-cp314-cp314t-macosx_11_0_arm64.whl,72
1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,70
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_11_0_arm64.whl,69
0.15.3,tzfpy-0.15.3-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,67
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,67
1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,63
1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,62
1.1.1,tzfpy-1.1.1-cp314-cp314t-musllinux_1_2_armv7l.whl,62
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_armv7l.whl,61
1.1.1,tzfpy-1.1.1-cp314-cp314t-musllinux_1_2_x86_64.whl,61
1.1.1,tzfpy-1.1.1-cp314-cp314t-musllinux_1_2_aarch64.whl,60
0.15.3,tzfpy-0.15.3-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,58
1.1.1,tzfpy-1.1.1-cp314-cp314t-win_amd64.whl,56
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,53
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl.metadata,53
1.1.1,tzfpy-1.1.1-cp314-cp314t-win32.whl,52
1.1.0,tzfpy-1.1.0-cp310-abi3-win_amd64.whl,51
1.1.1,tzfpy-1.1.1-cp310-abi3-win32.whl,51
1.1.1,tzfpy-1.1.1-cp314-cp314t-macosx_11_0_arm64.whl,49
0.15.2,tzfpy-0.15.2-cp311-cp311-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,48
0.16.4,tzfpy-0.16.4-cp313-cp313t-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,48
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_aarch64.whl,48
1.1.1,tzfpy-1.1.1-cp314-cp314t-macosx_10_12_x86_64.whl,47
0.13.1,tzfpy-0.13.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,44
0.15.6,tzfpy-0.15.6-cp38-abi3-musllinux_1_1_x86_64.whl,43
0.15.4,tzfpy-0.15.4-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,41
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,41
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,41
1.1.0,tzfpy-1.1.0-cp314-cp314t-musllinux_1_2_x86_64.whl,41
1.1.0,tzfpy-1.1.0-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,40
1.1.0,tzfpy-1.1.0-cp314-cp314t-musllinux_1_2_armv7l.whl,40
0.15.0,tzfpy-0.15.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,39
0.15.1,tzfpy-0.15.1-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,39
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl,38
0.6.0,tzfpy-0.6.0-cp310-cp310-macosx_11_0_x86_64.whl,38
1.1.0,tzfpy-1.1.0.tar.gz,38
0.15.3,tzfpy-0.15.3-pp310-pypy310_pp73-manylinux_2_24_armv7l.whl,37
1.1.0,tzfpy-1.1.0-cp314-cp314t-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,36
1.1.0,tzfpy-1.1.0-cp314-cp314t-musllinux_1_2_aarch64.whl,36
0.15.5,tzfpy-0.15.5-cp312-cp312-musllinux_1_1_x86_64.whl,35
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,35
1.1.0,tzfpy-1.1.0-cp314-cp314t-win_arm64.whl,35
1.0.1,tzfpy-1.0.1-cp314-cp314t-musllinux_1_2_aarch64.whl,34
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_armv7l.whl,34
1.1.0,tzfpy-1.1.0-cp310-abi3-win_arm64.whl,34
1.1.0,tzfpy-1.1.0-cp314-cp314t-win_amd64.whl,34
0.15.2,tzfpy-0.15.2-cp311-cp311-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,33
1.0.0,tzfpy-1.0.0-cp313-cp313t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,33
1.0.1,tzfpy-1.0.1-cp314-cp314t-musllinux_1_2_armv7l.whl,33
1.0.1,tzfpy-1.0.1-cp314-cp314t-musllinux_1_2_x86_64.whl,33
1.1.0,tzfpy-1.1.0-cp314-cp314t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,33
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,33
0.15.2,tzfpy-0.15.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,32
1.0.1,tzfpy-1.0.1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,32
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_10_12_x86_64.whl,32
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_armv7l.manylinux2014_armv7l.whl,32
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_aarch64.whl,31
